"Bloke";692.95;732.48;765.78;817.01;764.04;763.88;740.13;777.41;800.06
"Braslovèe";614.36;691.78;724.93;804.96;838.64;852.41;882.60;868.33;864.52
"Cankova";651.96;710.43;797.66;882.35;921.55;975.49;912.90;899.16;917.21
"Cerkvenjak";780.91;825.27;884.07;910.45;909.85;907.23;932.41;929.09;927.83
"Dobje";739.62;791.57;903.93;1009.55;971.76;955.72;938.55;984.90;1024.92
"Dobrna";658.02;688.28;738.56;804.06;829.83;866.59;870.57;881.60;876.34
"Dobrovnik/Dobronak";805.00;758.51;770.71;802.43;960.09;933.23;911.17;934.70;948.69
"Dolenjske Toplice";677.73;705.02;760.65;813.47;841.81;870.28;882.54;876.23;895.11
"Grad";622.51;654.78;693.92;798.89;974.53;1014.56;1013.79;1014.17;1018.94
"Hajdina";605.94;667.74;745.40;815.63;767.85;776.47;779.68;717.36;747.21
"Hoèe - Slivnica";682.17;735.98;806.20;861.55;847.30;896.33;914.08;921.55;932.14
"Hodoš/Hodos";847.90;874.71;822.40;751.87;772.64;800.87;825.00;797.26;811.43
"Horjul";728.65;755.35;803.58;847.25;833.30;916.28;938.10;937.08;938.57
"Jezersko";779.87;818.16;806.55;784.21;803.36;849.45;835.94;819.03;905.14
"Komenda";621.96;647.80;767.10;866.31;918.14;1000.33;1017.57;1018.46;1015.49
"Kostel";627.96;679.49;744.45;814.06;866.84;878.85;887.26;900.18;849.98
"Križevci";674.97;733.75;814.95;883.37;944.68;938.26;946.67;977.25;987.70
"Lovrenc na Pohorju";583.60;606.37;691.63;771.01;781.22;822.00;804.87;821.51;804.99
"Markovci";677.49;706.24;759.33;800.69;833.29;876.54;870.17;859.67;854.99
"Miklavž na Dravskem polju";627.58;679.08;740.03;794.23;801.44;817.36;868.49;891.79;852.28
"Mirna Peè";706.05;731.95;800.95;844.18;864.67;894.67;947.37;892.86;885.79
"Oplotnica";642.59;660.10;713.91;768.70;778.87;787.74;755.80;760.24;776.16
"Podlehnik";693.53;750.29;792.59;856.13;920.71;961.90;964.22;963.28;985.38
"Polzela";544.71;565.05;594.62;670.95;697.89;726.34;751.34;771.89;797.97
"Prebold";663.24;684.86;728.65;739.55;742.64;811.39;837.41;831.80;854.23
"Prevalje";664.85;662.58;720.40;761.41;788.34;822.44;842.15;855.61;885.01
"Razkrižje";660.83;687.35;749.73;843.60;869.38;868.57;872.74;825.40;830.72
"Ribnica na Pohorju";652.19;719.46;765.98;822.01;823.09;836.42;846.97;817.52;874.15
"Selnica ob Dravi";693.56;720.73;778.37;845.08;880.85;892.73;915.26;906.03;902.51
"Sodražica";668.05;701.12;754.09;823.07;860.98;889.19;902.18;892.90;882.35
"Solèava";630.00;685.86;746.46;817.74;795.42;840.70;843.30;975.46;918.04
"Sveta Ana";828.84;886.28;948.62;1003.12;1012.78;1028.72;992.25;966.82;934.69
"Sveti Andraž v Slov. goricah";673.83;697.64;809.63;870.99;912.02;897.56;867.77;857.96;935.20
"Šempeter - Vrtojba";736.58;796.58;846.48;890.02;922.20;988.38;995.64;1001.49;1013.94
"Tabor";676.39;736.41;795.10;842.14;793.11;843.58;836.29;943.56;818.55
"Trnovska vas";708.72;701.20;782.32;827.17;804.67;782.67;778.99;881.20;892.77
"Trzin";643.49;686.64;786.92;864.69;828.22;853.24;932.67;966.17;977.97
"Velika Polana";522.59;673.44;763.08;855.85;846.87;866.11;895.36;840.51;860.77
"Veržej";741.05;771.12;810.35;825.41;861.23;876.38;899.41;921.15;923.85
"Vransko";645.90;698.87;745.46;835.52;857.39;959.38;914.23;900.22;882.93
"Žalec";658.92;698.81;752.86;819.19;834.17;870.05;888.19;887.67;890.36
"Žetale";760.20;792.45;851.43;861.03;877.93;922.34;923.58;930.99;909.26
"Žirovnica";674.32;737.26;771.28;880.13;881.24;907.11;933.34;958.83;990.55
"Žužemberk";646.23;665.11;701.15;753.22;778.59;818.01;851.58;837.25;854.39
"Šmartno pri Litiji";608.34;641.20;666.02;728.81;735.16;777.31;799.96;805.61;810.30
"Apaèe";650.85;680.35;747.81;829.80;863.03;883.93;870.53;852.28;871.73
"Cirkulane";673.19;718.68;769.67;799.82;820.69;824.38;814.55;836.63;852.23
"Kostanjevica na Krki";518.74;518.13;532.18;582.32;591.54;667.29;706.11;710.74;710.32
"Makole";536.62;547.88;706.77;636.36;718.84;748.32;752.99;793.87;810.98
"Mokronog - Trebelno";583.79;624.07;671.95;760.04;747.95;819.52;870.85;834.47;833.39
"Poljèane";596.27;621.35;651.97;714.44;719.11;752.97;789.08;783.85;776.24
"Renèe - Vogrsko";648.94;685.70;746.06;807.29;804.55;868.22;868.43;870.05;842.73
"Središèe ob Dravi";621.83;692.40;836.58;897.09;1014.39;1038.83;1046.60;977.57;997.27
"Straža";563.70;602.15;670.77;714.32;718.57;743.48;1078.81;875.18;879.40
"Sveta Trojica v Slov. goricah";664.32;683.31;774.36;844.57;880.28;891.64;887.66;912.00;942.83
"Sveti Tomaž";822.02;861.31;925.77;1026.45;1052.42;1010.35;1002.24;981.78;963.87
"Šmarješke Toplice";672.67;708.23;781.44;838.17;869.50;934.17;917.67;900.24;926.77
"Gorje";655.52;684.23;741.79;805.45;830.96;870.86;888.16;899.06;899.15
"Log - Dragomer";607.73;656.59;742.09;745.43;781.91;811.10;779.16;814.07;879.19
"Reèica ob Savinji";607.01;609.70;586.32;601.89;652.31;701.12;726.46;726.43;733.98
"Sveti Jurij v Slov. goricah";740.92;780.68;878.67;930.75;968.49;950.51;992.38;979.45;966.52
"Šentrupert";695.70;739.44;795.06;908.54;969.99;974.97;987.20;974.52;975.12
"Mirna";-;-;-;-;-;-;-;916.50;924.61
